YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,7,1,3,WN,604,N8614M,CLE,BNA,morning,628,on_time,6,634,100,76,64,short,638,6,715,644,-31,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,26,7,AA,2259,N4XVAA,BNA,DFW,evening,1911,on_time,10,1921,118,104,87,short,2048,7,2110,2055,-15,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,1,23,5,OO,4580,N807SK,BNA,MSP,morning,754,on_time,22,816,144,129,100,short,956,7,1024,1003,-21,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,22,1,OO,4595,N8942A,CVG,BNA,evening,2000,on_time,15,2015,66,57,38,short,1953,4,2009,1957,-12,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,11,2,1,OO,4548,N821SK,BNA,MSP,afternoon,1552,on_time,26,1618,135,134,104,short,1802,4,1813,1806,-7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,28,6,WN,3809,N273WN,RDU,BNA,afternoon,1318,on_time,6,1324,90,82,71,short,1335,5,1350,1340,-10,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,5,1,OO,4811,N453SW,BNA,CVG,morning,633,on_time,27,700,73,78,45,short,845,6,848,851,3,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,27,7,EV,4676,N13202,EWR,BNA,morning,1144,on_time,15,1159,157,140,116,short,1255,9,1321,1304,-17,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,30,1,WN,581,N220WN,BNA,DAL,morning,751,on_time,16,807,125,124,103,short,950,5,1000,955,-5,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,2,4,WN,2774,N948WN,BNA,RDU,afternoon,1605,on_time,10,1615,85,85,70,short,1825,5,1825,1830,5,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,3,22,7,MQ,3164,N506MQ,ORD,BNA,morning,654,on_time,11,705,86,75,60,short,805,4,826,809,-17,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,28,5,OO,4486,N822SK,BNA,MSP,morning,601,on_time,16,617,136,127,104,short,801,7,821,808,-13,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,19,7,EV,4431,N12160,EWR,BNA,morning,932,delayed,22,954,146,147,118,short,1052,7,1035,1059,24,0,0,,1,0,23,0,0,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,21,5,DL,303,N990AT,BNA,ATL,evening,1951,delayed,28,2019,76,71,38,short,2157,5,2101,2202,61,0,0,,0,0,14,47,0,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,29,4,WN,162,N705SW,DCA,BNA,afternoon,1532,on_time,18,1550,130,114,92,short,1622,4,1645,1626,-19,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,23,5,DL,866,N358NW,ATL,BNA,afternoon,1602,delayed,25,1627,67,68,37,short,1604,6,1517,1610,53,0,0,,1,0,52,0,0,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,not_hot,no_snow,low_wind,medium_visibility
2015,12,17,4,OO,5235,N938SW,ORD,BNA,morning,1035,on_time,18,1053,91,94,69,short,1202,7,1211,1209,-2,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,8,4,WN,479,N233LV,SAN,BNA,afternoon,1446,on_time,10,1456,225,226,211,long,2027,5,2025,2032,7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,23,6,WN,3388,N370SW,CHS,BNA,morning,855,on_time,9,904,85,81,67,short,911,5,925,916,-9,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,14,2,EV,4205,N13914,BNA,IAH,evening,1759,on_time,12,1811,136,129,109,short,2000,8,2025,2008,-17,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,29,1,WN,166,N359SW,BNA,PHL,afternoon,1347,delayed,10,1357,115,109,93,short,1630,6,1625,1636,11,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,3,5,WN,1961,N206WN,BNA,PNS,evening,1800,on_time,10,1810,70,68,55,short,1905,3,1915,1908,-7,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,4,30,4,WN,4906,N250WN,MDW,BNA,evening,2112,on_time,7,2119,85,64,52,short,2211,5,2240,2216,-24,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
